date,alpha,beta,persist
2022-04-29,,,
2022-05-02,,,
2022-05-03,,,
2022-05-04,,,
2022-05-05,,,
2022-05-06,,,
2022-05-09,,,
2022-05-10,,,
2022-05-11,,,
2022-05-12,,,
2022-05-13,,,
2022-05-16,,,
2022-05-17,,,
2022-05-18,,,
2022-05-19,,,
2022-05-20,,,
2022-05-23,,,
2022-05-24,,,
2022-05-25,,,
2022-05-26,,,
2022-05-27,,,
2022-05-31,,,
2022-06-01,,,
2022-06-02,,,
2022-06-03,,,
2022-06-06,,,
2022-06-07,,,
2022-06-08,,,
2022-06-09,,,
2022-06-10,,,
2022-06-13,,,
2022-06-14,,,
2022-06-15,,,
2022-06-16,,,
2022-06-17,,,
2022-06-21,,,
2022-06-22,,,
2022-06-23,,,
2022-06-24,,,
2022-06-27,,,
2022-06-28,,,
2022-06-29,,,
2022-06-30,,,
2022-07-01,,,
2022-07-05,,,
2022-07-06,,,
2022-07-07,,,
2022-07-08,,,
2022-07-11,,,
2022-07-12,,,
2022-07-13,,,
2022-07-14,,,
2022-07-15,,,
2022-07-18,,,
2022-07-19,,,
2022-07-20,,,
2022-07-21,,,
2022-07-22,,,
2022-07-25,,,
2022-07-26,,,
2022-07-27,,,
2022-07-28,,,
2022-07-29,,,
2022-08-01,,,
2022-08-02,,,
2022-08-03,0.0,1.0,1.0
2022-08-04,0.0,0.9999999999206008,0.9999999999206008
2022-08-05,0.0,1.0,1.0
2022-08-08,1.1030724307490214e-08,0.9999999881865211,0.9999999992172455
2022-08-09,1.3011744127646891e-08,1.0,1.0000000130117441
2022-08-10,3.2452841601024564e-09,0.9999999965835511,0.9999999998288353
2022-08-11,3.618856629329423e-11,0.9999999999575707,0.9999999999937593
2022-08-12,0.0,1.0,1.0
2022-08-15,1.2835680236344211e-09,0.9999999986038856,0.9999999998874536
2022-08-16,2.4633186096122907e-13,0.9999999999997039,0.9999999999999503
2022-08-17,6.38491557795071e-09,0.9999999930566659,0.9999999994415815
2022-08-18,0.0,1.0,1.0
2022-08-19,0.0,0.9999999999989513,0.9999999999989513
2022-08-22,1.065353850208857e-09,0.9999999970346118,0.9999999980999656
2022-08-23,7.310615184426478e-12,0.9999999999925149,0.9999999999998255
2022-08-24,8.83654708680351e-11,0.9999999999117257,1.0000000000000913
2022-08-25,2.115080439661933e-13,1.0,1.0000000000002116
2022-08-26,0.0,1.0,1.0
2022-08-29,0.0,1.0,1.0
2022-08-30,3.9569417818157285e-13,0.999999999999586,0.9999999999999817
2022-08-31,2.577540233662629e-12,0.9999999999971585,0.999999999999736
2022-09-01,0.0,1.0,1.0
2022-09-02,0.018655976107642594,0.9787012410126242,0.9973572171202668
2022-09-06,0.022123617653398705,0.9742706750668393,0.9963942927202379
2022-09-07,0.02390089409449997,0.9719511093428462,0.9958520034373461
2022-09-08,0.022581964449378912,0.9736284347971768,0.9962103992465556
2022-09-09,0.0244132810215225,0.9712484451997664,0.9956617262212889
2022-09-12,0.024438561793228796,0.9712436149493031,0.9956821767425319
2022-09-13,0.026566860552240393,0.9684252043563685,0.9949920649086089
2022-09-14,0.027342740338842885,0.9674174889418876,0.9947602292807305
2022-09-15,0.028212971142444036,0.9662452046216664,0.9944581757641104
2022-09-16,0.02837926027335265,0.966005180208888,0.9943844404822407
2022-09-19,0.029349952424604274,0.9647232829299993,0.9940732353546036
2022-09-20,0.03039479730046924,0.9633070753675671,0.9937018726680363
2022-09-21,0.03207630910958296,0.9610544104922232,0.9931307196018061
2022-09-22,0.029994080510396915,0.9637677167638692,0.9937617972742661
2022-09-23,0.030685859685635017,0.9628459817228702,0.9935318414085051
2022-09-26,0.029396511152108125,0.9645470845200871,0.9939435956721953
2022-09-27,0.025994360672502097,0.9691515087491256,0.9951458694216276
2022-09-28,0.026943195980075104,0.9677878567885956,0.9947310527686707
2022-09-29,0.021935006249998456,0.97440758373145,0.9963425899814484
2022-09-30,0.0,0.9999999999587851,0.9999999999587851
2022-10-03,4.730299811572099e-13,0.9999999999994478,0.9999999999999208
2022-10-04,0.0,1.0,1.0
2022-10-05,4.7784935897374575e-05,0.999947800123373,0.9999955850592704
2022-10-06,0.0,1.0,1.0
2022-10-07,1.213666291334842e-15,0.9999999999999987,0.9999999999999999
2022-10-11,2.2653522883770042e-14,0.9999345810321039,0.9999345810321265
2022-10-12,3.981894632468165e-17,0.9997337354492115,0.9997337354492115
2022-10-13,1.388901646718709e-13,0.9995117415961241,0.999511741596263
2022-10-14,0.0,0.9994870067906481,0.9994870067906481
2022-10-17,0.010319986169307557,0.9877351598836531,0.9980551460529606
2022-10-18,0.012133421218005841,0.9855443076919278,0.9976777289099337
2022-10-19,0.013322784610518255,0.9840377470660846,0.9973605316766029
2022-10-20,0.014528133149638765,0.9824989766610515,0.9970271098106902
2022-10-21,0.01227084680292496,0.9853619286438814,0.9976327754468064
2022-10-24,0.013118158865372992,0.9842729533515207,0.9973911122168937
2022-10-25,3.9140220635209925e-09,0.9985380390890762,0.9985380430030983
2022-10-26,0.014544328195625242,0.982391425955149,0.9969357541507742
2022-10-27,3.4237978925855827e-18,0.9991717978484163,0.9991717978484163
2022-10-28,0.0,1.0,1.0
2022-10-31,1.9629052173222135e-15,0.9998067460227618,0.9998067460227638
2022-11-01,0.0,0.99971656335848,0.99971656335848
2022-11-02,9.807869150910503e-10,0.9996614906952378,0.9996614916760247
2022-11-03,0.0,0.9994766778953497,0.9994766778953497
2022-11-04,1.2252888088509904e-10,0.9993034272419775,0.9993034273645064
2022-11-07,0.0,0.9990983821836716,0.9990983821836716
2022-11-08,0.0,0.9997075011743211,0.9997075011743211
2022-11-09,2.9537261525547374e-15,0.9998869766671691,0.9998869766671721
2022-11-10,0.0,0.9997310371987035,0.9997310371987035
2022-11-14,1.9947343212997377e-09,0.9995744076196356,0.9995744096143698
2022-11-15,0.0,0.9997004059667978,0.9997004059667978
2022-11-16,4.64036663133798e-14,0.9995543757368297,0.9995543757368761
2022-11-17,9.69014317159625e-16,0.999999999999999,1.0
2022-11-18,0.0,1.0,1.0
2022-11-21,0.0,1.0,1.0
2022-11-22,2.715383189554119e-16,0.9999999999999997,0.9999999999999999
2022-11-23,0.0,1.0,1.0
2022-11-25,1.2825969359200693e-05,0.9999878273716132,1.0000006533409724
2022-11-28,0.0,1.0,1.0
2022-11-29,6.044627655302538e-11,0.9999999999260206,0.9999999999864669
2022-11-30,5.0376461955061395e-11,0.9999999999532931,1.0000000000036695
2022-12-01,1.5912640798355908e-17,1.0,1.0
2022-12-02,0.0,0.9999999999999853,0.9999999999999853
2022-12-05,0.0,1.0,1.0
2022-12-06,0.0,1.0,1.0
2022-12-07,1.141094043356329e-13,0.9999999999998841,0.9999999999999982
2022-12-08,2.8317676941955554e-16,0.9999999999999997,1.0
2022-12-09,0.0,1.0,1.0
2022-12-12,5.888208650447987e-11,1.0,1.000000000058882
2022-12-13,1.2043699973958058e-13,0.999999999999974,1.0000000000000944
2022-12-14,0.0,1.0,1.0
2022-12-15,9.768305736704647e-11,0.9999999999413021,1.000000000038985
2022-12-16,0.0,1.0,1.0
2022-12-19,3.4840119189818014e-18,0.9999199699374297,0.9999199699374297
2022-12-20,1.172540956436391e-16,0.9998009478642397,0.9998009478642398
2022-12-21,0.0,0.9997907618525471,0.9997907618525471
2022-12-22,4.905976652687022e-08,0.9996699374190622,0.9996699864788287
2022-12-23,5.677940439968538e-10,0.9995096227954924,0.9995096233632864
2022-12-27,3.8665264426787305e-07,0.9993585617031273,0.9993589483557715
2022-12-28,6.063307054068556e-17,0.9992903022674369,0.999290302267437
2022-12-29,0.0,0.9991397601583053,0.9991397601583053
2022-12-30,1.911534587292442e-08,0.99897665897538,0.9989766780907259
2023-01-03,1.0030987001575094e-15,0.9995444258110003,0.9995444258110013
2023-01-04,0.0,0.9995202158781112,0.9995202158781112
2023-01-05,0.0,0.9993627198363596,0.9993627198363596
2023-01-06,4.9754472646544115e-08,0.9992077639867567,0.9992078137412294
2023-01-09,0.0,0.9990531336788739,0.9990531336788739
2023-01-10,0.0,0.9990986680162526,0.9990986680162526
2023-01-11,0.0,0.9989592802183159,0.9989592802183159
2023-01-12,0.0,0.9988262525263517,0.9988262525263517
2023-01-13,8.711219639588715e-10,0.998668965950602,0.9986689668217239
2023-01-17,1.718605500839569e-14,0.9987716025313712,0.9987716025313884
2023-01-18,9.637256073218102e-11,0.9992919914565994,0.999291991552972
2023-01-19,0.0,0.9992311910609001,0.9992311910609001
2023-01-20,0.0,0.9991733004396108,0.9991733004396108
2023-01-23,0.0,0.9990391920653072,0.9990391920653072
2023-01-24,4.896750166491314e-09,0.9988976072601157,0.9988976121568658
2023-01-25,0.0,0.9987493732936729,0.9987493732936729
2023-01-26,1.5235759363656752e-11,0.9986012826859479,0.9986012827011838
2023-01-27,0.0,0.9984534862265552,0.9984534862265552
2023-01-30,6.03591190548811e-14,0.9983080782749482,0.9983080782750086
2023-01-31,0.0,0.9984609952510232,0.9984609952510232
2023-02-01,6.647693308238138e-08,0.998399953172782,0.998400019649715
2023-02-02,0.0,0.9982810976480532,0.9982810976480532
2023-02-03,2.4944945142856998e-17,0.9981376100210356,0.9981376100210356
2023-02-06,0.0,0.9980504972783755,0.9980504972783755
2023-02-07,8.210045535883129e-18,0.9979323572819777,0.9979323572819777
2023-02-08,2.085076274095376e-09,0.9978013540451527,0.9978013561302289
2023-02-09,1.3812519982273623e-13,0.9976775171657777,0.9976775171659158
2023-02-10,1.9607581513648017e-08,0.9976398465157049,0.9976398661232865
2023-02-13,0.0,0.9975142744554554,0.9975142744554554
2023-02-14,2.3859677905607016e-13,0.9973807520838321,0.9973807520840707
2023-02-15,0.009237366158200594,0.9875251667091616,0.9967625328673622
2023-02-16,0.011085192076688724,0.9854534069393086,0.9965385990159973
2023-02-17,0.013548330845449983,0.9826750138123824,0.9962233446578324
2023-02-21,0.016275321747924173,0.9795745443200142,0.9958498660679383
2023-02-22,0.014128510599703804,0.982026403099971,0.9961549136996748
2023-02-23,0.015198104255140005,0.9807993122880301,0.9959974165431701
2023-02-24,0.013763377515143537,0.9824059760635451,0.9961693535786886
2023-02-27,0.014339534866574567,0.9817374451226905,0.996076979989265
2023-02-28,0.016632689688438985,0.9791153859501314,0.9957480756385704
2023-03-01,0.019306603617862097,0.9760466620210809,0.995353265638943
2023-03-02,6.380673767125702e-18,0.9973357704294783,0.9973357704294783
2023-03-03,0.0,0.9972983527572954,0.9972983527572954
2023-03-06,0.0,0.9972092130360887,0.9972092130360887
2023-03-07,0.0,0.9971334411994417,0.9971334411994417
2023-03-08,2.0458295570738803e-09,0.997066522888722,0.9970665249345515
2023-03-09,1.8926931220120285e-16,0.9969891033692956,0.9969891033692958
2023-03-10,0.0,0.9970046160599294,0.9970046160599294
2023-03-13,0.005775857240072597,0.9908998547247894,0.9966757119648619
2023-03-14,0.007522801811355266,0.9889937252455532,0.9965165270569084
2023-03-15,1.2590144472484083e-16,0.9966490164298445,0.9966490164298446
2023-03-16,0.0,0.997278893728186,0.997278893728186
2023-03-17,0.0,0.9973031436339546,0.9973031436339546
2023-03-20,0.0,0.9973312584032037,0.9973312584032037
2023-03-21,4.800642465771076e-18,0.9973604554062687,0.9973604554062687
2023-03-22,0.0,0.9972605813520324,0.9972605813520324
2023-03-23,0.0,0.9973371601620065,0.9973371601620065
2023-03-24,0.0,0.9973480225071772,0.9973480225071772
2023-03-27,0.0,0.9974105711196921,0.9974105711196921
2023-03-28,0.0,0.997367090131833,0.997367090131833
2023-03-29,0.0,0.9972791346301103,0.9972791346301103
2023-03-30,0.0,0.9971699183514209,0.9971699183514209
2023-03-31,0.0,0.9970489545577916,0.9970489545577916
2023-04-03,0.0,0.9969721742854499,0.9969721742854499
2023-04-04,6.574440258611841e-09,0.9969337222070418,0.996933728781482
2023-04-05,3.159454355357765e-13,0.9968930329599412,0.9968930329602572
2023-04-06,0.0,0.9967738789564433,0.9967738789564433
2023-04-07,0.0,0.9966633880662974,0.9966633880662974
2023-04-10,1.671592833855455e-08,0.9965416664462268,0.9965416831621551
2023-04-11,0.004840162824307728,0.9914893870153697,0.9963295498396775
2023-04-12,0.005846947254832629,0.9904174656637367,0.9962644129185693
2023-04-13,0.007056409034088991,0.9890799322368652,0.9961363412709542
2023-04-14,0.00804214712130566,0.9879755784444098,0.9960177255657154
2023-04-17,0.008938482679463733,0.9869650399965905,0.9959035226760542
2023-04-18,0.009911024522924963,0.9858553353110677,0.9957663598339926
2023-04-19,0.010900675670261423,0.9847235360369396,0.9956242117072011
2023-04-20,0.011954596594952002,0.9835125929804114,0.9954671895753634
2023-04-21,0.013000205462734527,0.9823077841555351,0.9953079896182696
2023-04-24,0.014028058492857935,0.9811205335579323,0.9951485920507902
2023-04-25,0.014613238743117532,0.9804421273207831,0.9950553660639005
2023-04-26,0.008039246701753522,0.9877836063732576,0.9958228530750111
2023-04-27,0.008545732221309053,0.9872110226782655,0.9957567548995746
2023-04-28,0.008806814786519814,0.9869214964370749,0.9957283112235947
2023-05-01,0.00926463274719404,0.986383143723131,0.995647776470325
2023-05-02,0.009983894464238675,0.9855428196754544,0.9955267141396931
2023-05-03,0.01072676742497483,0.984674321358445,0.9954010887834198
2023-05-04,0.010980220487502548,0.9843692269614639,0.9953494474489665
2023-05-05,0.011758818411589532,0.9834608285219518,0.9952196469335414
2023-05-08,0.01238174604471623,0.9827426367069599,0.9951243827516761
2023-05-09,0.012995720982282834,0.9820341431479278,0.9950298641302107
2023-05-10,0.013872921899584235,0.9810127069403144,0.9948856288398986
2023-05-11,0.013075767973245755,0.9819173090547048,0.9949930770279505
2023-05-12,0.012922686409553776,0.9820788383492514,0.9950015247588051
2023-05-15,0.013635641745888867,0.9812481168076993,0.9948837585535881
2023-05-16,0.014354277998892526,0.9804105760063468,0.9947648540052394
2023-05-17,0.015013874939630816,0.979634430575737,0.9946483055153678
2023-05-18,0.015858411883586693,0.9786462808524365,0.9945046927360233
2023-05-19,0.01656084953727852,0.9778211698075113,0.9943820193447899
2023-05-22,0.015654336699502683,0.9788873945932614,0.994541731292764
2023-05-23,0.015873723969258676,0.9786203202998238,0.9944940442690825
2023-05-24,0.016410483707004972,0.9779847239367256,0.9943952076437306
2023-05-25,0.017262187353034218,0.976988070018755,0.9942502573717892
2023-05-26,0.01815543515026976,0.9759470640269947,0.9941024991772645
2023-05-30,0.01889883756788568,0.9750894096220916,0.9939882471899772
2023-05-31,0.015296858989066782,0.9791932188965567,0.9944900778856235
2023-06-01,0.014364413012008536,0.9802751761369379,0.9946395891489465
2023-06-02,0.014850252220581553,0.9796908217053273,0.9945410739259088
2023-06-05,0.014813317725669073,0.9797477639226685,0.9945610816483376
2023-06-06,0.014909224210079,0.9796214158142532,0.9945306400243322
2023-06-07,0.015309222300043886,0.9791313677840177,0.9944405900840615
2023-06-08,0.015775664591552295,0.9785695676924954,0.9943452322840477
2023-06-09,0.016346091343709134,0.9778836997313093,0.9942297910750184
2023-06-12,0.016925923428882206,0.9771871214379747,0.9941130448668569
2023-06-13,0.01712952757266218,0.9769358111590164,0.9940653387316786
2023-06-14,0.017754057685075566,0.976193767315971,0.9939478250010465
2023-06-15,0.018433537191892543,0.9753936004472606,0.9938271376391532
2023-06-16,0.019049649985673506,0.9746667181858611,0.9937163681715346
2023-06-20,0.01962120362712857,0.9740064756191944,0.993627679246323
2023-06-21,0.01600062497356746,0.9781343477659468,0.9941349727395142
2023-06-22,0.016445051231233593,0.9775834050964953,0.994028456327729
2023-06-23,0.016938694110749625,0.9769845062191653,0.993923200329915
2023-06-26,0.017405570491995082,0.9764249164365641,0.9938304869285592
2023-06-27,0.014796577250356043,0.9794561375415224,0.9942527147918784
2023-06-28,0.014808841055917173,0.9794519231483884,0.9942607642043055
2023-06-29,0.014555545617654092,0.9797581912560327,0.9943137368736867
2023-06-30,0.014600977808205974,0.9797080102888521,0.9943089880970581
2023-07-03,0.01485191010438346,0.9793721564079401,0.9942240665123235
2023-07-05,0.014986055704167259,0.9792075509465192,0.9941936066506865
2023-07-06,0.015280441907678473,0.9788257797762496,0.9941062216839281
2023-07-07,0.01538485239677473,0.978707115344361,0.9940919677411357
2023-07-10,0.01508274720849498,0.9791023132002294,0.9941850604087245
2023-07-11,0.015158507396773687,0.9789925784034493,0.994151085800223
2023-07-12,0.015413621360022074,0.9786651292000041,0.9940787505600263
2023-07-13,0.01572682614986965,0.9782633878363843,0.993990213986254
2023-07-14,0.015827506854223707,0.9781280529473079,0.9939555598015316
2023-07-17,0.01586371744687296,0.9780932465646275,0.9939569640115005
2023-07-18,0.01581930909743119,0.9781381626759073,0.9939574717733385
2023-07-19,0.015978785228838898,0.9779275256161603,0.9939063108449991
2023-07-20,0.01461387273309004,0.9795810439183475,0.9941949166514376
2023-07-21,0.01331736226076642,0.9813441097798461,0.9946614720406125
2023-07-24,0.013325041341867868,0.981249771619278,0.9945748129611458
2023-07-25,0.013362561778607389,0.9811412093970764,0.9945037711756838
2023-07-26,0.013219058196837523,0.9814433507004356,0.9946624088972732
2023-07-27,0.013216693392529656,0.9814224858941334,0.994639179286663
2023-07-28,0.01322940705681269,0.9813264685042756,0.9945558755610883
2023-07-31,0.013281813061816854,0.9811948210821315,0.9944766341439484
2023-08-01,0.0133656302858295,0.9810248889119904,0.9943905191978198
2023-08-02,0.013465000523558718,0.9808518096202103,0.994316810143769
2023-08-03,0.013616313565769329,0.9806189136205913,0.9942352271863606
2023-08-04,0.0130498407763387,0.981430535612936,0.9944803763892748
2023-08-07,0.012947583048678981,0.9816030010837766,0.9945505841324556
2023-08-08,0.01296599644365062,0.981511463435857,0.9944774598795076
2023-08-09,0.012880621096069087,0.9816725499302466,0.9945531710263157
2023-08-10,0.012897618287732737,0.9815744745234443,0.994472092811177
2023-08-11,0.012940680301375374,0.9814816346260302,0.9944223149274056
2023-08-14,0.01301419298581802,0.9813280366763288,0.9943422296621469
2023-08-15,0.013117223364540425,0.9811448964112391,0.9942621197757796
2023-08-16,0.013255795928467824,0.9809280118368217,0.9941838077652895
2023-08-17,0.013429786920089538,0.9806717703971801,0.9941015573172697
2023-08-18,0.01354839273107638,0.9805176939485286,0.9940660866796049
2023-08-21,0.013756520847091159,0.9802373993236957,0.9939939201707868
2023-08-22,0.013819133233018246,0.9801662815047777,0.9939854147377959
2023-08-23,0.014023155599588132,0.9798944475421946,0.9939176031417827
2023-08-24,0.013984531815981343,0.9799317208611151,0.9939162526770965
2023-08-25,0.014239974791727315,0.9796027308604699,0.9938427056521972
2023-08-28,0.014520479222381841,0.979246468439962,0.9937669476623439
2023-08-29,0.014832919685050626,0.9788608220887888,0.9936937417738394
2023-08-30,0.015021572689990607,0.9786210007647266,0.9936425734547172
2023-08-31,0.015333681531711092,0.9782399608215547,0.9935736423532658
2023-09-01,0.01566025281959972,0.9778552358362228,0.9935154886558225
2023-09-05,0.016084236709945944,0.9773522151146085,0.9934364518245544
2023-09-06,0.016562592063325776,0.9767923723413237,0.9933549644046494
2023-09-07,0.01705852296776448,0.9762173357816307,0.9932758587493952
2023-09-08,0.01722102706293382,0.9760216523937656,0.9932426794566994
2023-09-11,0.01764720789852633,0.9755290347618708,0.9931762426603972
2023-09-12,0.015139678994006077,0.9783903323003857,0.9935300112943918
2023-09-13,0.015396462990441916,0.9780730776668782,0.9934695406573202
2023-09-14,0.015622346216654405,0.9778056200287802,0.9934279662454346
2023-09-15,0.015979237494281328,0.9773795650527813,0.9933588025470627
2023-09-18,0.016305678298126736,0.9769977585060076,0.9933034368041342
2023-09-19,0.01648630546938695,0.9767782874477398,0.9932645929171267
2023-09-20,0.016897922761644105,0.9763017392403031,0.9931996620019472
2023-09-21,0.017288366979503485,0.9758555438599811,0.9931439108394846
2023-09-22,0.017703183158134326,0.9753860201258083,0.9930892032839427
2023-09-25,0.018224014374493985,0.974791805794618,0.9930158201691119
2023-09-26,0.01873909444249342,0.9742166129413546,0.9929557073838481
2023-09-27,0.019343521843678622,0.973539775532657,0.9928832973763356
2023-09-28,0.019837867837424816,0.9729989394251747,0.9928368072625995
2023-09-29,0.020563699538120317,0.9721915956876642,0.9927552952257845
2023-10-02,0.021360517674656954,0.9713140907479202,0.9926746084225772
2023-10-03,0.022244392544428396,0.9703441132438304,0.9925885057882589
2023-10-04,0.01847073596760858,0.9744734741869963,0.9929442101546049
2023-10-05,0.018838253216368287,0.9740544895660548,0.9928927427824231
2023-10-06,0.019292950507103303,0.9735396771936707,0.9928326277007741
2023-10-10,0.019657291792578562,0.9731374891071293,0.9927947808997079
2023-10-11,0.01858133903473422,0.9743135515800742,0.9928948906148084
2023-10-12,0.018399919600370834,0.9745067818245514,0.9929067014249222
2023-10-13,0.018314282261469746,0.9746180695791269,0.9929323518405966
2023-10-16,0.018441701532079146,0.9744615130295368,0.9929032145616159
2023-10-17,0.01867871845388043,0.9741951491274575,0.992873867581338
2023-10-18,0.018548971353943303,0.9743557523696674,0.9929047237236107
2023-10-19,0.018827930118908275,0.9740386641294666,0.9928665942483749
2023-10-20,0.01878422193436476,0.974099778408574,0.9928840003429388
2023-10-23,0.01898470970674426,0.9738632241231645,0.9928479338299088
2023-10-24,0.019336861732079335,0.9734616979890032,0.9927985597210826
2023-10-25,0.01928788509071135,0.9735059425170638,0.9927938276077751
2023-10-26,0.01952950812668482,0.9732394861593937,0.9927689942860786
2023-10-27,0.019659894150129708,0.9730850594801549,0.9927449536302846
2023-10-30,0.02000078572205519,0.9727002077806254,0.9927009935026806
2023-10-31,0.020368230900406042,0.9722961155038599,0.9926643464042659
2023-11-01,0.020798394195547097,0.9718239338768498,0.9926223280723969
2023-11-02,0.020018362273993916,0.9726571842660503,0.9926755465400442
2023-11-03,0.019761629384779517,0.9729312365453566,0.9926928659301362
2023-11-06,0.019831539667488504,0.9728436327243031,0.9926751723917916
2023-11-07,0.01956307922467668,0.9731579087779391,0.9927209880026158
2023-11-08,0.01955861857702223,0.9731497483786188,0.992708366955641
2023-11-09,0.019659335926139266,0.973025466399708,0.9926848023258472
2023-11-10,0.01953686376898503,0.9731795679195439,0.9927164316885289
2023-11-13,0.01976951054457471,0.9729090341332098,0.9926785446777846
2023-11-14,0.019981304514323697,0.9726635121782597,0.9926448166925834
2023-11-15,0.020198136418682032,0.9724149660126993,0.9926131024313813
2023-11-16,0.0204617985424138,0.972124933324245,0.9925867318666588
2023-11-17,0.02048393105418445,0.9720910406750592,0.9925749717292437
2023-11-20,0.02053964751743035,0.9720391474240793,0.9925787949415096
2023-11-21,0.020353218545856172,0.9722571822261565,0.9926104007720127
2023-11-22,0.020466502827026882,0.9721412274097562,0.9926077302367831
2023-11-24,0.020499249143573654,0.9720964115272125,0.9925956606707862
2023-11-27,0.020681565508622175,0.9718985929821548,0.992580158490777
2023-11-28,0.020578827983131567,0.9719981588111037,0.9925769867942353
2023-11-29,0.0208054901684881,0.9717457310739194,0.9925512212424075
2023-11-30,0.020835292602871265,0.9717039876454834,0.9925392802483547
2023-12-01,0.021107875042795078,0.9714045468382555,0.9925124218810506
2023-12-04,0.020693953466363338,0.971837609948868,0.9925315634152314
2023-12-05,0.020936435022467812,0.9715700646488545,0.9925064996713223
2023-12-06,0.020757334341442224,0.9717522297906571,0.9925095641320993
2023-12-07,0.02050057221755737,0.9720223308711522,0.9925229030887096
2023-12-08,0.020674502855410785,0.9718253571186318,0.9924998599740427
2023-12-11,0.020875347207736532,0.9716050884777233,0.9924804356854598
2023-12-12,0.021072454578313388,0.9713851627156956,0.992457617294009
2023-12-13,0.021319740640877625,0.9711134943637897,0.9924332350046673
2023-12-14,0.020049446340097695,0.9724448843305404,0.9924943306706381
2023-12-15,0.020165106602741425,0.9723110794012934,0.9924761860040348
2023-12-18,0.02030956924855405,0.9721411592473597,0.9924507284959138
2023-12-19,0.02047517891666794,0.971953836914416,0.9924290158310839
2023-12-20,0.020666695841554124,0.9717404115355269,0.992407107377081
2023-12-21,0.020606692144155184,0.971795852372031,0.9924025445161863
2023-12-22,0.020817417223139397,0.9715685735415369,0.9923859907646763
2023-12-26,0.021010416329611172,0.9713628960243528,0.992373312353964
